MonthYear,market cap
"Market capitalization of Bitcoin from April 2013 to April 6, 2022 (in billion U.S. dollars)",
,
Apr 2013,1.54
May 2013,1.45
Jun 2013,1.10
Jul 2013,1.22
Aug 2013,1.57
Sep 2013,1.57
Oct 2013,2.43
Nov 2013,13.62
Dec 2013,9.19
Jan 2014,10.24
Feb 2014,6.84
Mar 2014,5.75
Apr 2014,5.69
May 2014,8.01
Jun 2014,8.30
Jul 2014,7.67
Aug 2014,6.31
Sep 2014,5.16
Oct 2014,4.55
Nov 2014,5.13
Dec 2014,4.38
Jan 2015,3
Feb 2015,3.53
Mar 2015,3.42
Apr 2015,3.33
May 2015,3.27
Jun 2015,3.77
Jul 2015,4.11
Aug 2015,3.35
Sep 2015,3.46
Oct 2015,4.65
Nov 2015,5.62
Dec 2015,6.47
Jan 2016,5.59
Feb 2016,6.68
Mar 2016,6.41
Apr 2016,6.94
May 2016,8.29
Jun 2016,10.58
Jul 2016,9.86
Aug 2016,9.12
Sep 2016,9.69
Oct 2016,11.18
Nov 2016,11.94
Dec 2016,15.49
Jan 2017,15.66
Feb 2017,19.10
Mar 2017,17.41
Apr 2017,21.98
May 2017,37.41
Jun 2017,40.74
Jul 2017,47.39
Aug 2017,77.78
Sep 2017,72.01
Oct 2017,107.74
Nov 2017,171.02
Dec 2017,237.47
Jan 2018,172.10
Feb 2018,175.64
Mar 2018,118.20
Apr 2018,157.16
May 2018,127.90
Jun 2018,109.67
Jul 2018,133.69
Aug 2018,121.35
Sep 2018,114.61
Oct 2018,109.63
Nov 2018,69.90
Dec 2018,65.33
Jan 2019,60.55
Feb 2019,67.70
Mar 2019,72.34
Apr 2019,94.57
May 2019,152.06
Jun 2019,192.44
Jul 2019,180.03
Aug 2019,172.47
Sep 2019,149.01
Oct 2019,165.80
Nov 2019,136.83
Dec 2019,130.45
Jan 2020,170.11
Feb 2020,156.90
Mar 2020,117.81
Apr 2020,158.92
May 2020,174
Jun 2020,168.32
Jul 2020,208.90
Aug 2020,215.82
Sep 2020,199.56
Oct 2020,255.37
Nov 2020,364.23
Dec 2020,539.05
Jan 2021,616.45
Feb 2021,841.43
Mar 2021,"1,100.02"
Apr 2021,"1,079.67"
May 2021,698.99
Jun 2021,656.85
Jul 2021,781.43
Aug 2021,886.87
Sep 2021,824.62
Oct 2021,"1,156.49"
Nov 2021,"1,076.69"
Dec 2021,875.94
Jan 2022,729.07
Feb 2022,819.41
Mar 2022,865.20
Apr 2022,879.36